unitName,unitType,unitSize,race,meleeAttack,meleeDefense,hitPointsPerUnit,weaponStrength,speed,leadership,armor,chargeBonus,chargeImpactDamage,chargeCount,baseRange,attackAccuracy,missileStrength,rarityTier,baseUnitCount,attackCooldown,ammunition,rateOfFire,explosionDamage,explosionRange,explosionForce,none,standardShields,armorPiercing,antiInfantry,antiLarge,terrifying,stalwart,outrider,swampCreature,forestDweller,chickenFlight,ethereal,bloodFrenzy,rage,emblazing,unstoppable,heavyShields,throwingAxes,armorSundering,monsterSlayer,forgefuryTempering,flamingAmmo,dragonsHoard,backStabbers,thickScales,shotDiscipline,overdraw,steadyAim,demolisher,powderReserves,deepQuivers
EisenmannRegiment,Ranged,Infantry,IronLegion,14,20,100,24,34,60,25,2,0,3,70,65,18,Rare,48,1,1100,0,0,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ImperialTemplars,Melee,Infantry,IronLegion,42,40,140,35,25,90,110,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
RoyalCavaliers,Melee,Cavalry,IronLegion,31,33,175,34,70,90,120,65,135,3,0,0,0,Rare,24,1,0,0,0,0,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Ashguard,Melee,Infantry,IronLegion,44,40,160,35,25,90,100,4,0,3,0,0,0,Legendary,36,1,0,0,0,0,0,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
DeepwoodRangers,Ranged,Infantry,IronLegion,14,17,100,24,34,70,15,2,0,3,100,80,14,Legendary,48,1,1200,0,0,0,0,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
DireWolves,Melee,Cavalry,Gruntkin,26,20,100,33,80,30,10,40,25,3,0,0,0,Common,24,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GoblinRabble,Melee,Infantry,Gruntkin,18,18,60,20,35,30,15,4,0,3,0,0,0,Common,84,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GoblinScrapShooters,Ranged,Infantry,Gruntkin,8,12,60,18,35,30,10,4,0,3,50,30,5,Common,84,1,750,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ArmoredDirewolves,Melee,Cavalry,Gruntkin,27,25,100,33,75,60,80,40,40,3,0,0,0,Uncommon,24,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
BogmawTroll,Melee,Monstrous,Gruntkin,34,32,800,50,44,50,35,45,60,3,0,0,0,Uncommon,8,2,0,0,15,2,0,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Direriders,Melee,Cavalry,Gruntkin,28,34,100,24,70,60,20,35,100,3,0,0,0,Uncommon,24,1,0,0,0,0,0,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
OrcImpalers,Melee,Infantry,Gruntkin,32,32,100,28,35,60,30,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
OrcRavagers,Melee,Infantry,Gruntkin,30,30,100,24,35,60,30,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
OrcStalkers,Ranged,Infantry,Gruntkin,12,14,100,20,35,50,15,4,0,3,75,50,7,Uncommon,48,1,900,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
FleshshredderFanatics,Melee,Infantry,Gruntkin,36,30,100,38,35,80,50,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Gobbopult,Artillery,Artillery,Gruntkin,28,24,300,28,15,30,20,4,0,1,125,75,50,Rare,3,1,60,10,75,6,5,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
StonegulletEnforcers,Melee,Infantry,Gruntkin,35,37,120,36,25,90,80,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
StonehewerGiant,Melee,SingleUnit,Gruntkin,65,30,2800,355,38,60,70,45,50,3,0,0,0,Rare,1,2.5,0,0,35,3,0,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Meatgrinders,Melee,Infantry,Gruntkin,32,33,100,28,40,65,65,4,0,3,0,0,0,Legendary,48,1,0,0,0,0,0,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
Siegeclaws,Artillery,Artillery,Gruntkin,32,32,300,28,15,30,20,4,0,1,125,90,75,Legendary,3,1,80,8,75,7,5,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
DriftwoodSkirmishers,Ranged,Infantry,RavenHost,16,18,100,26,33,48,15,2,0,3,65,50,10,Common,48,1,750,0,0,0,0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ThrallLevy,Melee,Infantry,RavenHost,28,26,100,24,30,40,20,4,0,3,0,0,0,Common,48,1,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
DraugrBoltThrowers,Artillery,Artillery,RavenHost,28,26,300,28,15,30,15,4,0,1,125,75,100,Uncommon,3,1,60,10,75,5,5,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Huskarls,Melee,Infantry,RavenHost,32,32,100,28,30,65,50,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
SeawindSpears,Melee,Infantry,RavenHost,32,32,100,28,30,48,25,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Shieldmaidens,Melee,Infantry,RavenHost,32,32,100,24,35,65,45,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
SkogarmadrArchers,Ranged,Infantry,RavenHost,28,30,100,26,33,48,15,2,0,3,75,50,11,Uncommon,48,1,900,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Berserkers,Hybrid,Infantry,RavenHost,42,40,120,42,35,80,15,8,0,3,25,75,75,Rare,36,1,33,0,0,0,0,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
SonsOfFenrir,Melee,Monstrous,RavenHost,42,32,600,50,55,50,40,45,50,3,0,0,0,Rare,8,2,0,0,15,2,0,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Valkyries,Melee,Infantry,RavenHost,42,38,120,28,35,80,80,12,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VarangianGuard,Melee,Infantry,RavenHost,41,44,140,35,30,80,120,3,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
AngelsOfDeath,Melee,Cavalry,RavenHost,35,31,175,34,70,90,80,75,105,3,0,0,0,Legendary,24,1,0,0,0,0,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Jomsvikings,Melee,Infantry,RavenHost,43,44,140,35,30,90,85,3,0,3,0,0,0,Legendary,36,1,0,0,0,0,0,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
AshwoodMilitia,Melee,Infantry,TaelindorForest,27,32,100,23,30,50,40,4,0,3,0,0,0,Common,36,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ForestSpirits,Melee,Infantry,TaelindorForest,21,18,60,22,25,60,15,4,0,3,0,0,0,Common,84,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
SylvanArchers,Ranged,Infantry,TaelindorForest,14,17,120,24,33,50,15,2,0,3,75,65,12,Common,36,1,750,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
AerindelGuard,Melee,Infantry,TaelindorForest,31,32,120,34,33,50,65,2,0,3,0,0,0,Uncommon,36,1,0,0,0,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Duskspears,Melee,Infantry,TaelindorForest,34,32,120,32,30,75,70,4,0,3,0,0,0,Uncommon,36,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
MistweaverScouts,Ranged,Infantry,TaelindorForest,14,17,120,24,33,50,15,2,0,3,55,80,15,Uncommon,36,1,900,0,0,0,0,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
StarStriders,Melee,Cavalry,TaelindorForest,42,34,200,24,60,75,110,30,105,3,0,0,0,Uncommon,16,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Treants,Melee,Monstrous,TaelindorForest,34,36,800,50,44,70,60,45,50,3,0,0,0,Uncommon,12,3,0,0,15,2,0,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ElarionSentinels,Melee,Infantry,TaelindorForest,36,34,120,38,25,80,105,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
LorandelStarhurler,Artillery,Artillery,TaelindorForest,32,32,300,28,15,30,30,4,0,1,125,75,100,Rare,3,1,60,7,75,3,5,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
SunspireBladelords,Melee,Infantry,TaelindorForest,42,40,120,35,30,80,90,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Veilpiercers,Ranged,Infantry,TaelindorForest,14,20,120,24,34,60,15,2,0,3,85,73,17,Rare,36,1,1100,0,0,0,0,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
EmeraldAncient,Melee,SingleUnit,TaelindorForest,75,45,3200,355,42,90,70,45,100,3,0,0,0,Legendary,1,2.5,0,0,35,3,0,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false
VeilkinDrakes,Melee,Cavalry,TaelindorForest,34,35,175,34,70,85,130,65,125,3,0,0,0,Legendary,24,1,0,0,0,0,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
BoneclatterSpears,Melee,Infantry,SanguineCourt,22,18,55,25,25,30,25,4,0,3,0,0,0,Common,84,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
FeralHounds,Melee,Cavalry,SanguineCourt,27,18,100,32,70,30,15,40,25,3,0,0,0,Common,24,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GravestoneImps,Melee,Infantry,SanguineCourt,18,21,65,20,30,30,20,4,0,3,0,0,0,Common,84,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
UndeadLevies,Melee,Infantry,SanguineCourt,26,23,55,22,25,50,15,4,0,3,0,0,0,Common,84,1,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
BoneshardArchers,Ranged,Infantry,SanguineCourt,12,14,100,10,33,60,15,4,0,3,75,50,7,Uncommon,48,1,900,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
DeathhavenFiends,Melee,Infantry,SanguineCourt,32,32,100,28,45,60,25,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
MistWraiths,Melee,Infantry,SanguineCourt,38,31,90,30,50,60,0,16,0,3,0,0,0,Uncommon,36,1,0,0,0,0,0,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Nightriders,Melee,Cavalry,SanguineCourt,35,34,150,24,60,60,50,30,80,3,0,0,0,Uncommon,24,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
BlackWardens,Melee,Infantry,SanguineCourt,48,40,140,40,25,85,80,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bloodsworn,Melee,Infantry,SanguineCourt,42,38,130,34,25,80,95,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
BloodswornKnights,Melee,Cavalry,SanguineCourt,31,33,175,34,70,80,125,65,103,3,0,0,0,Rare,24,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CorpseClaws,Melee,Monstrous,SanguineCourt,50,32,1000,65,55,50,30,45,50,3,0,0,0,Rare,8,3,0,0,15,2,0,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
NecroticChimerae,Melee,Monstrous,SanguineCourt,65,38,1200,75,55,50,125,45,50,3,0,0,0,Legendary,4,2,0,0,20,2,0,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Shadelords,Melee,Infantry,SanguineCourt,42,40,90,35,25,80,15,4,0,3,0,0,0,Legendary,36,1,0,0,0,0,0,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
AshigaruSpearmen,Melee,Infantry,SakuraDynasty,28,34,100,25,30,50,15,4,0,3,0,0,0,Common,48,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
DaikyuCommoners,Ranged,Infantry,SakuraDynasty,14,17,100,24,33,50,15,2,0,3,65,50,9,Common,48,1,750,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
RoninWanderers,Melee,Infantry,SakuraDynasty,34,32,100,28,30,50,15,4,0,3,0,0,0,Common,48,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
BanryuBombardiers,Artillery,Artillery,SakuraDynasty,14,17,300,28,15,30,15,4,0,1,115,70,120,Uncommon,3,1,60,10,75,5,5,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
FootSamurai,Melee,Infantry,SakuraDynasty,32,30,100,35,27,75,70,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
KunoichiInfiltrators,Hybrid,Infantry,SakuraDynasty,30,30,100,24,54,50,25,2,0,3,15,75,32,Uncommon,48,1,90,0,0,0,0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
NaginataOnna,Melee,Infantry,SakuraDynasty,32,32,100,28,30,75,75,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
DragonTachi,Melee,Cavalry,SakuraDynasty,34,33,175,36,70,80,80,65,105,3,0,0,0,Rare,24,1,0,0,0,0,0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
EmperorsArquebusiers,Ranged,Infantry,SakuraDynasty,14,17,100,24,34,60,70,2,0,3,100,45,20,Rare,48,1,1100,0,0,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Hokoshu,Melee,Infantry,SakuraDynasty,42,40,120,42,25,80,90,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
JoseonHwacha,Artillery,Artillery,SakuraDynasty,14,17,300,28,15,30,30,4,0,1,135,80,100,Rare,3,1,60,10,75,5,5,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
KitsuneBlademasters,Melee,Infantry,SakuraDynasty,36,31,100,40,40,80,25,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GoldenSaru,Melee,Monstrous,SakuraDynasty,40,36,1500,75,55,50,75,62,50,3,0,0,0,Legendary,4,2,0,0,15,2,0,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Oni,Melee,Monstrous,SakuraDynasty,35,37,600,37,25,75,110,4,0,3,0,0,0,Legendary,12,1,0,0,35,3,0,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrackshotCrossbows,Ranged,Infantry,DeepstoneHold,18,30,100,28,20,30,25,4,0,3,60,80,12,Common,48,1,750,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
RiftpickLaborers,Melee,Infantry,DeepstoneHold,30,32,100,28,25,30,30,4,0,3,0,0,0,Common,48,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Cragflayers,Hybrid,Infantry,DeepstoneHold,34,32,120,34,30,45,25,4,0,3,50,75,14,Uncommon,36,1,150,0,0,0,0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
DrakefireRiflers,Ranged,Infantry,DeepstoneHold,30,40,120,28,20,30,30,4,0,3,50,75,12,Uncommon,36,1,900,0,0,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GrimfireGuns,Artillery,Artillery,DeepstoneHold,28,33,300,28,15,30,30,4,0,1,130,80,300,Uncommon,3,1,30,8,75,5,5,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
HelmwallDefenders,Melee,Infantry,DeepstoneHold,28,42,140,28,20,60,55,4,0,3,0,0,0,Uncommon,36,1,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GlyphstonePhalanx,Melee,Infantry,DeepstoneHold,30,40,160,31,20,90,70,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GrimazulAncients,Melee,Infantry,DeepstoneHold,40,40,160,35,20,90,95,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
StormForgedBattery,Artillery,Artillery,DeepstoneHold,28,34,300,28,15,30,30,4,0,1,130,85,400,Rare,3,1,40,10,75,7,6,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TheBulwark,Ranged,Infantry,DeepstoneHold,26,40,140,30,20,60,55,4,0,3,50,75,13,Rare,36,1,1100,0,0,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ThunderhoofChargers,Melee,Cavalry,DeepstoneHold,36,33,175,34,50,75,85,65,120,3,0,0,0,Rare,24,1,0,0,0,0,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
AbyssalDelveknights,Melee,Infantry,DeepstoneHold,43,42,175,42,20,90,100,4,0,3,0,0,0,Legendary,36,1,0,0,0,0,0,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
ForgewrathHammers,Melee,Infantry,DeepstoneHold,41,44,160,33,20,90,85,3,0,3,0,0,0,Legendary,36,1,0,0,0,0,0,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
DireRaptors,Melee,Cavalry,DrakosaurBrood,32,20,100,35,80,30,15,40,25,3,0,0,0,Common,24,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
KoboldBrawlers,Melee,Infantry,DrakosaurBrood,32,28,100,26,35,30,30,4,0,3,0,0,0,Common,48,1,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
